iter	Logloss
0	0.6878939466
1	0.6843339474
2	0.6804611648
3	0.6763536979
4	0.6719486154
5	0.6677290759
6	0.6635119542
7	0.6596674063
8	0.6558396955
9	0.6517519098
10	0.6477079736
11	0.6444370492
12	0.6401522209
13	0.6357440117
14	0.6313357808
15	0.6278374632
16	0.6248575434
17	0.621731414
18	0.6187791766
19	0.6155127802
20	0.6118469251
21	0.6090215014
22	0.605412204
23	0.6018227029
24	0.5991305691
25	0.5965691071
26	0.5932986052
27	0.5904460202
28	0.5872237389
29	0.5835763496
30	0.5799014287
31	0.5769369088
32	0.5742828853
33	0.5720788623
34	0.5692975172
35	0.5671630105
36	0.5646054841
37	0.5623987664
38	0.560014606
39	0.5578892946
40	0.5558508564
41	0.553465512
42	0.5512683385
43	0.5485760993
44	0.5461087112
45	0.5437536464
46	0.542024717
47	0.5403604432
48	0.5378173576
49	0.535192504
50	0.5328168145
51	0.5309485012
52	0.5284005926
53	0.5268520634
54	0.524851996
55	0.5227378673
56	0.5207660338
57	0.5193590531
58	0.5170390555
59	0.5152581846
60	0.5135704235
61	0.5115548261
62	0.5099112577
63	0.5081083639
64	0.5057804046
65	0.5040000269
66	0.502090649
67	0.5001966421
68	0.4985936121
69	0.4967530911
70	0.4949650212
71	0.4936271479
72	0.492149765
73	0.4903592756
74	0.4885645689
75	0.4869810463
76	0.4853997179
77	0.4838100413
78	0.4826829571
79	0.4816363439
80	0.4798439306
81	0.4780230756
82	0.4769695332
83	0.4756396539
84	0.4739602128
85	0.4725541759
86	0.470942183
87	0.4696765407
88	0.4686154776
89	0.4674896852
90	0.4666351369
91	0.4656726424
92	0.4644138886
93	0.4631228348
94	0.4619952106
95	0.4607175637
96	0.4593276447
97	0.4584192004
98	0.4569608602
99	0.4559060647
100	0.455005075
101	0.453784837
102	0.4526831496
103	0.451827907
104	0.450444053
105	0.4492624048
106	0.447925468
107	0.4467560248
108	0.4457218305
109	0.4445921305
110	0.4434394627
111	0.4424521917
112	0.4412772772
113	0.4400590732
114	0.4392055179
115	0.4379851308
116	0.4370102159
117	0.4358656022
118	0.4352282413
119	0.43441393
120	0.4330582658
121	0.4319595075
122	0.4313120006
123	0.4307042058
124	0.4298512797
125	0.4286508813
126	0.4275049766
127	0.4267329819
128	0.4259982217
129	0.4255111249
130	0.4247064016
131	0.4238526359
132	0.4230560459
133	0.4223743415
134	0.4216431175
135	0.4208925938
136	0.4200594855
137	0.4191750602
138	0.4182730365
139	0.4177312544
140	0.4169586392
141	0.4163251863
142	0.4157645697
143	0.4151310901
144	0.4143900176
145	0.4136367623
146	0.4130738221
147	0.4121766428
148	0.4114431588
149	0.4104165411
150	0.4097896359
151	0.4090766232
152	0.408103098
153	0.4074306223
154	0.4067723047
155	0.4061191291
156	0.4051865541
157	0.4048886009
158	0.4040047779
159	0.4034374124
160	0.403020528
161	0.4023177439
162	0.4018276413
163	0.4010453634
164	0.4002956916
165	0.3997059826
166	0.3992819253
167	0.3987274363
168	0.3980049635
169	0.3972488526
170	0.3967549989
171	0.3959198718
172	0.3953019854
173	0.3949011774
174	0.394404498
175	0.3939920495
176	0.3935862488
177	0.3927985183
178	0.3921988534
179	0.3915433663
180	0.3908788484
181	0.3902601869
182	0.3896275371
183	0.3889099162
184	0.3880033948
185	0.387305932
186	0.3864759698
187	0.3860052688
188	0.3854772596
189	0.3847901668
190	0.3837964822
191	0.3833284809
192	0.3827958742
193	0.3823752403
194	0.3819825288
195	0.3816546445
196	0.3810115406
197	0.3805374024
198	0.3800198568
199	0.3796738175
200	0.3792769895
201	0.3786889401
202	0.3782259596
203	0.3779516861
204	0.3775121858
205	0.3769635373
206	0.3762157069
207	0.3756825706
208	0.374955788
209	0.3743353585
210	0.3740298601
211	0.3735274773
212	0.373169117
213	0.372589167
214	0.3718805605
215	0.371102837
216	0.3705523208
217	0.3701003643
218	0.3696712675
219	0.3691881402
220	0.3689749337
221	0.3685841617
222	0.3681422664
223	0.3675929609
224	0.3669999789
225	0.3666623457
226	0.3661764933
227	0.3657287206
228	0.3652688695
229	0.3648687352
230	0.3644574934
231	0.3638759044
232	0.3632453689
233	0.3628260336
234	0.3623439338
235	0.3616936109
236	0.3614414822
237	0.3611299214
238	0.3608983637
239	0.3603536666
240	0.3597724578
241	0.3594353219
242	0.3590413994
243	0.3588233961
244	0.358378479
245	0.3578861649
246	0.3574064831
247	0.3571183032
248	0.3567198225
249	0.3564668272
250	0.3558040855
251	0.3556323599
252	0.3552660395
253	0.3549086229
254	0.3546139988
255	0.3542045666
256	0.3536467572
257	0.3532971792
258	0.3529385013
259	0.352526106
260	0.352202293
261	0.3518498502
262	0.3515953795
263	0.3513542967
264	0.3507964959
265	0.3503317351
266	0.3499891307
267	0.3495295043
268	0.3491248727
269	0.3487425194
270	0.3484112595
271	0.3480117502
272	0.347739594
273	0.3473748595
274	0.3469741965
275	0.3466406822
276	0.346208921
277	0.3458298733
278	0.345552536
279	0.3451387842
280	0.3446494146
281	0.3443278959
282	0.3438669844
283	0.343589146
284	0.3431766004
285	0.3428948892
286	0.3424401804
287	0.3422007204
288	0.3420065846
289	0.3415616972
290	0.3413991269
291	0.3409320683
292	0.3407095517
293	0.340380901
294	0.3398507929
295	0.3397127412
296	0.3393720479
297	0.33908057
298	0.3388635054
299	0.3386229895
300	0.3382993941
301	0.3379483351
302	0.3375825249
303	0.337172176
304	0.3365984215
305	0.3361014233
306	0.3357328423
307	0.3355324517
308	0.3350337745
309	0.3348426095
310	0.3345783356
311	0.3342751699
312	0.3339617831
313	0.3335900635
314	0.3333201114
315	0.3329813964
316	0.3324411617
317	0.3321039359
318	0.3318063682
319	0.3315605908
320	0.3312082632
321	0.3306165179
322	0.3303959879
323	0.3301108128
324	0.3297517487
325	0.3294865183
326	0.3290146033
327	0.3286132313
328	0.328383544
329	0.3281068117
330	0.327560809
331	0.3271574707
332	0.3267788381
333	0.3263284931
334	0.3260046481
335	0.3257998814
336	0.3257321653
337	0.3254504595
338	0.3250246595
339	0.324867817
340	0.3246854335
341	0.3242330323
342	0.3235787475
343	0.3231994061
344	0.3229873662
345	0.3225702695
346	0.3222897908
347	0.322068577
348	0.3219353868
349	0.3215095436
350	0.3213137831
351	0.3211570432
352	0.3209757646
353	0.3207482616
354	0.3203559248
355	0.3199458255
356	0.3196505927
357	0.3194163596
358	0.3190357288
359	0.3187394488
360	0.318509624
361	0.3182030002
362	0.3177537954
363	0.3175047932
364	0.3171357495
365	0.3169410652
366	0.3167142777
367	0.316441205
368	0.3160731902
369	0.3156154523
370	0.3154431081
371	0.3153259629
372	0.3150326359
373	0.3147018363
374	0.3142200068
375	0.3139046432
376	0.3135821662
377	0.3133517862
378	0.3130698691
379	0.3128033197
380	0.3123899957
381	0.311865455
382	0.3114516384
383	0.3109489034
384	0.3106702017
385	0.310379956
386	0.3100649314
387	0.3099178024
388	0.3096423072
389	0.3092877101
390	0.3089966506
391	0.3086326465
392	0.3084202574
393	0.3080626712
394	0.3078135113
395	0.3075954417
396	0.307416342
397	0.3071242297
398	0.3069067436
399	0.3066832565
400	0.3063297244
401	0.3060636286
402	0.3058565388
403	0.3056000642
404	0.3053128794
405	0.3051161066
406	0.3047424764
407	0.3045706909
408	0.3044284677
409	0.3041996995
410	0.304031011
411	0.3038061529
412	0.3035493642
413	0.3032260726
414	0.3030006372
415	0.3028941727
416	0.3024831
417	0.3023725205
418	0.301797031
419	0.301484949
420	0.3013952496
421	0.3012344774
422	0.3009255435
423	0.300643736
424	0.3004873181
425	0.3002387768
426	0.2999178905
427	0.2997332901
428	0.2994750823
429	0.2991096672
430	0.2988579909
431	0.2986523841
432	0.2984360758
433	0.2981606472
434	0.297932445
435	0.2977616311
436	0.297487764
437	0.2971391878
438	0.296859193
439	0.2966852639
440	0.2965317997
441	0.2963392962
442	0.2961522568
443	0.2957681462
444	0.2954544124
445	0.295305837
446	0.2949318733
447	0.2947423108
448	0.2945063896
449	0.294424297
450	0.2942055349
451	0.293938882
452	0.2936564401
453	0.2933833302
454	0.2931817966
455	0.2929846527
456	0.292742941
457	0.2924153175
458	0.2919732264
459	0.2918373841
460	0.2916669616
461	0.2912220638
462	0.2908455154
463	0.290518989
464	0.2902752795
465	0.2899953214
466	0.2896658103
467	0.2893396294
468	0.2888752434
469	0.2885335388
470	0.2883323506
471	0.2881390294
472	0.2878533849
473	0.2875337861
474	0.2873600176
475	0.2870882724
476	0.2867887164
477	0.2865210404
478	0.2861774502
479	0.2859664496
480	0.2858170552
481	0.2856016872
482	0.2854245901
483	0.285177606
484	0.2849620138
485	0.2847933808
486	0.2846211369
487	0.2842935302
488	0.2841083331
489	0.2838561761
490	0.2835804093
491	0.2833813541
492	0.2832136717
493	0.2830068607
494	0.2829087079
495	0.2827946648
496	0.2826034818
497	0.2823672059
498	0.2822022553
499	0.2819070431
500	0.2816424188
501	0.2815075959
502	0.2811048415
503	0.2808731333
504	0.2806850759
505	0.2804402075
506	0.2802381811
507	0.2798435447
508	0.2795564103
509	0.2792006393
510	0.2790054699
511	0.2787092467
512	0.2784694795
513	0.2782384094
514	0.278035927
515	0.2779610494
516	0.2777837268
517	0.2775963472
518	0.277415322
519	0.2771846916
520	0.277006092
521	0.2767887991
522	0.2766286321
523	0.2763382395
524	0.2761106714
525	0.2759306283
526	0.275797085
527	0.2756633613
528	0.2753739061
529	0.2751665854
530	0.2749481326
531	0.2747517983
532	0.2746642538
533	0.2742892352
534	0.2740988926
535	0.2738569606
536	0.273602477
537	0.2734034615
538	0.2732517731
539	0.2731333943
540	0.2730056213
541	0.2728008053
542	0.2726143692
543	0.2723613564
544	0.2721112975
545	0.2719472579
546	0.2717584127
547	0.2715652372
548	0.2712232016
549	0.2708482864
550	0.270496247
551	0.2702427377
552	0.2701160161
553	0.2697984102
554	0.2696372013
555	0.2692345911
556	0.2689886044
557	0.2687110117
558	0.2684411633
559	0.2683544694
560	0.2681033356
561	0.2679894508
562	0.267797631
563	0.2677437425
564	0.2675407771
565	0.2674110955
566	0.2673310887
567	0.2671707244
568	0.2669554543
569	0.2666931471
570	0.2664981484
571	0.2662809645
572	0.2659958789
573	0.265714526
574	0.265387652
575	0.26528172
576	0.2650000699
577	0.2645731839
578	0.2644102455
579	0.2643552221
580	0.2641379305
581	0.2639784492
582	0.2638130669
583	0.2636697882
584	0.2635006951
585	0.2631811769
586	0.2629347468
587	0.2627852525
588	0.2626796846
589	0.2625151399
590	0.2623540256
591	0.2622079512
592	0.2620551261
593	0.2618542032
594	0.2615358294
595	0.2613185246
596	0.2611531025
597	0.2610444535
598	0.2608883294
599	0.2606809304
600	0.2605296003
601	0.2603523496
602	0.2602369822
603	0.2598918628
604	0.2597355719
605	0.2596164038
606	0.259532002
607	0.2593643606
608	0.2590043146
609	0.2587762189
610	0.2585232733
611	0.2583297223
612	0.2581745107
613	0.2578653465
614	0.2577440284
615	0.2576252125
616	0.2575440712
617	0.2574021565
618	0.2572362682
619	0.2569511119
620	0.2567706862
621	0.2566434809
622	0.2565228886
623	0.2563528676
624	0.2561853267
625	0.2559208621
626	0.2558666948
627	0.2557247715
628	0.2554963224
629	0.2553267099
630	0.2551167469
631	0.2549043979
632	0.2548000166
633	0.2543466703
634	0.2541999641
635	0.2539931508
636	0.2537663689
637	0.2535291792
638	0.2533489857
639	0.2532510647
640	0.2531074539
