iter	Passed	Remaining
227	68383	231544
228	68577	230888
229	68713	230040
230	68900	229370
231	69136	228865
232	69334	228238
233	69526	227595
234	69857	227408
235	70101	226939
236	70518	227028
237	70829	226773
238	71231	226808
239	71653	226903
240	71866	226333
241	72035	225632
242	72247	225065
243	72506	224650
244	72647	223871
245	72822	223202
246	72965	222441
247	73127	221742
248	73251	220931
249	73408	220224
250	73564	219520
251	73741	218883
252	73909	218222
253	74069	217543
254	74215	216826
255	74367	216130
256	74506	215402
257	74667	214741
258	74840	214120
259	75031	213551
260	75163	212818
261	75350	212247
262	75511	211604
263	75703	211053
264	75951	210658
265	76104	210001
266	76261	209363
267	76407	208696
268	76540	207997
269	76701	207377
270	76877	206802
271	77017	206134
272	77300	205851
273	77748	206004
274	78008	205658
275	78361	205555
276	78766	205589
277	79124	205494
278	79506	205464
279	79899	205456
280	80112	204985
281	80309	204475
282	80537	204048
283	80772	203637
284	80961	203113
285	81229	202790
286	81596	202710
287	81902	202481
288	82293	202459
289	82494	201970
290	82726	201556
291	82954	201135
292	83155	200650
293	83469	200439
294	83782	200225
295	84006	199799
296	84233	199380
297	84455	198952
298	84654	198470
299	84870	198031
300	85073	197561
301	85317	197190
302	85572	196845
303	85817	196477
304	86067	196120
305	86280	195680
306	86512	195286
307	86718	194835
308	86915	194364
309	87102	193873
310	87306	193421
311	87512	192977
312	87741	192582
313	88110	192495
314	88366	192162
315	88599	191779
316	88839	191411
317	89070	191025
318	89318	190676
319	89543	190279
320	89764	189876
321	90031	189569
322	90277	189220
323	90490	188800
324	90730	188440
325	90933	188002
326	91121	187536
327	91330	187117
328	91522	186661
329	91770	186322
330	92245	186442
331	92676	186470
332	93090	186461
333	93535	186511
334	93905	186410
335	94170	186098
336	94371	185662
337	94566	185216
338	94849	184942
339	95088	184584
340	95414	184393
341	95786	184291
342	96037	183955
343	96265	183576
344	96496	183203
345	96683	182748
346	96863	182281
347	97067	181861
348	97254	181412
349	97469	181014
350	97648	180553
351	97842	180119
352	98065	179740
353	98368	179508
354	98625	179193
355	98881	178875
356	99116	178521
357	99407	178267
358	99735	178079
359	99975	177734
360	100250	177451
361	100538	177191
362	100776	176845
363	101096	176640
364	101326	176280
365	101630	176048
366	102026	175974
367	102298	175687
368	102562	175385
369	102832	175093
370	103152	174886
371	103373	174512
372	103553	174069
373	103688	173553
374	103894	173157
375	104051	172680
376	104200	172193
377	104360	171725
378	104526	171268
379	104663	170767
380	104834	170321
381	104987	169849
382	105121	169347
383	105298	168916
384	105485	168502
385	105639	168038
386	105848	167661
387	106140	167417
388	106352	167047
389	106822	167082
390	107286	167103
391	107761	167139
392	108236	167174
393	108699	167188
394	109173	167214
395	109604	167175
396	110088	167213
397	110554	167220
398	111023	167230
399	111454	167182
400	111889	167136
401	112164	166852
402	112556	166740
403	112891	166542
404	113131	166205
405	113385	165889
406	113725	165698
407	113961	165356
408	114170	164975
409	114355	164559
410	114657	164315
411	115002	164129
412	115398	164016
413	115672	163729
414	115877	163344
415	116152	163059
416	116296	162591
417	116451	162140
418	116588	161665
419	116949	161501
420	117270	161281
421	117449	160867
422	117664	160502
423	117865	160118
424	118081	159757
425	118310	159414
426	118496	159012
427	118676	158604
428	118897	158252
429	119136	157925
430	119377	157600
431	119599	157250
432	119845	156934
433	120028	156534
434	120240	156174
435	120587	155989
436	121059	155964
437	121460	155846
438	121849	155711
439	122207	155536
440	122563	155357
441	123044	155337
442	123502	155283
443	123891	155142
444	124206	154908
445	124544	154702
446	124797	154392
447	125263	154342
448	125618	154155
449	125970	153964
450	126225	153653
451	126504	153372
452	126750	153051
453	127022	152762
454	127298	152478
455	127481	152083
456	127685	151714
457	127868	151319
458	128052	150929
459	128250	150554
460	128436	150167
461	128607	149763
462	128815	149403
463	129014	149033
464	129182	148628
465	129380	148260
466	129580	147893
467	129921	147688
468	130394	147632
469	130633	147309
470	130830	146941
471	131191	146756
472	131380	146380
473	131580	146015
474	131768	145638
475	131965	145273
476	132160	144905
477	132374	144559
478	132575	144199
479	132792	143858
480	132982	143488
481	133170	143116
482	133364	142752
483	133572	142404
484	133783	142058
485	134011	141732
486	134181	141345
487	134379	140988
488	134681	140740
489	134958	140467
490	135172	140128
491	135395	139798
492	135592	139443
493	135795	139093
494	136054	138803
495	136287	138485
496	136633	138282
497	137008	138109
498	137201	137751
499	137401	137401
500	137619	137070
501	137823	136725
502	138120	136472
503	138545	136345
504	138954	136202
505	139319	136015
506	139697	135839
507	140110	135697
508	140354	135391
509	140570	135057
510	140793	134731
511	141014	134404
512	141229	134071
513	141448	133743
514	141660	133408
515	141899	133099
516	142252	132897
517	142618	132706
518	142868	132407
519	143104	132096
520	143363	131806
521	143578	131476
522	143806	131157
523	144052	130856
524	144369	130619
525	144811	130495
526	145037	130176
527	145261	129854
528	145535	129578
529	145811	129304
530	146062	129007
531	146275	128678
532	146488	128349
533	146839	128140
534	147177	127920
535	147472	127662
536	147740	127381
537	148058	127143
538	148291	126831
539	148566	126556
540	148798	126244
541	149069	125966
542	149306	125659
543	149573	125377
544	149827	125085
545	150096	124805
546	150303	124474
547	150651	124260
548	151062	124096
549	151448	123912
550	151817	123713
551	152216	123538
552	152680	123414
553	153144	123289
554	153572	123134
555	153942	122932
556	154222	122658
557	154534	122409
558	154805	122127
559	155032	121810
560	155193	121443
561	155368	121088
562	155595	120773
563	155748	120400
564	155910	120037
565	156049	119656
566	156263	119333
567	156511	119036
568	156799	118771
569	157022	118455
570	157289	118174
571	157593	117919
572	157866	117642
573	158105	117339
574	158390	117071
575	158827	116914
576	159102	116638
577	159325	116323
578	159553	116013
579	159772	115697
580	159991	115381
581	160233	115081
582	160515	114811
583	160813	114552
584	161037	114240
585	161319	113969
586	161537	113654
587	161723	113316
588	161924	112989
589	162124	112662
590	162327	112338
591	162552	112029
592	162782	111724
593	163007	111415
594	163239	111112
595	163472	110810
596	163694	110500
597	163879	110166
598	164072	109838
599	164261	109507
600	164507	109215
601	164709	108894
602	164926	108583
603	165237	108334
604	165551	108087
605	165734	107755
606	165985	107466
607	166439	107309
608	166837	107115
609	167256	106934
610	167605	106707
611	168004	106512
612	168399	106314
613	168745	106084
614	168973	105779
615	169206	105479
616	169398	105153
617	169551	104803
618	169750	104482
619	169996	104191
620	170138	103836
621	170300	103494
622	170475	103160
623	170620	102809
624	170760	102456
625	170914	102111
626	171101	101787
627	171249	101440
628	171390	101090
629	171537	100744
630	171695	100405
631	171841	100059
632	172001	99722
633	172191	99403
634	172391	99091
635	172570	98766
636	172709	98420
637	172864	98082
638	173093	97788
639	173298	97480
640	173438	97136
